Latin;English;References;English Latin Pair Matches;Misspelling
Amor dominandi, dominii, imperandi, regnandi;Love of dominating;;TRUE;
Amor dominans;Ruling love;;TRUE;
Amor erga proximum;Love towards the neighbour;;TRUE;
Amor in Deum;Love to God (see Love to the Lord);;;
Amor in Dominum;Love to the Lord;;TRUE;
Amor mundi;Love of the world;;TRUE;
Amor mutuus;Mutual love;;;
Amor regnans;Reigning love;;;
Amor sexus;Love of the sex;;;
Amor spiritualis;Spiritual love;;;
Amor sui;Love of self;;TRUE;
Amor;Love;;TRUE;
Amora;Gomorrah;;;
Amovere;Put away;;TRUE;
Amphitheatrum;Amphitheatre;;TRUE;
Amplexari;Embrace, To;;;
Amplexatio;Embracing, An;;;
Amplificare;Enlarge, To;;;
Amplificatio;Enlargement, An;;;
Amram;Amram;;TRUE;
Amstelodam;Amsterdam;;TRUE;TRUE
Amurca;Dregs; T. 519.;TRUE;
Amussis;Rule, A;;;
Amygdala;Almond;;TRUE;
Amygdalus;Almond-tree;;;
Anabaptismus;Anabaptism;;TRUE;
Anakim;Anakim;;;
Analogia;Analogy;;TRUE;
Analogice;Analogically;;TRUE;
Analogicus;Analogical;;TRUE;
Analogon;Analogue;;TRUE;
Analogus;Analogous;;TRUE;
Analysis;Analysis;;TRUE;
Analytice;Analytically;;TRUE;
Analyticus;Analytical; D. 2606.;TRUE;
Anamin;Anamin;;;TRUE
Anastomosis;Anastomosis;;TRUE;
Anataria;Bittern;;TRUE;
Anathema;Anathema; T. 688e.;;
Anathematizare;Anathematize;;TRUE;
Anatomia;Anatomy;;TRUE;
Anatomicus;Anatomical; D.Wis.6:7.;TRUE;
Anceps;Two - edged;;;
Anchora;Anchor;;;
Ancilla;Maidservant;;;
Andreas;Andrew;;TRUE;
Aner;Aner;;TRUE;
Angelicus;Angelic (see Angel); H. 288e. 304e.;;
Angelo;Angelo;;TRUE;
Angelus Dei;Angel of God (see Angel of Jehovah);;;
Angelus Jehovae;Angel of Jehovah;;TRUE;
Angelus coelestis;Celestial Angel; E. 1042:3.;TRUE;
Angelus naturalis;Natural Angel;;TRUE;
Angelus spiritualis;Spiritual Angel;;TRUE;
