Latin;English;References;English Latin Pair Matches;Misspelling
Liquere;Follow;;TRUE;
Liquescere;Melt;;TRUE;
Liquidus;Liquid,;;;
Liquifieri;Melt;;;TRUE
Liquor;Liquor;;TRUE;
Lis;Dispute;;;
Litamen;Sacrifice, A;;;
Litare;Sacrifice, To;;;
Litera;Letter;;TRUE;
Literatus;Learned;;;
Literula;Letter, A little;;;
Litigare;Dispute, To; A. 7877:2. 9425.;;
Litigatio;Dispute, A;;;
Litura;Blot, A;;;
Litus;Shore;;TRUE;
Lividus;Livid;;;
Livor;Bruise (see Livid);;;
Lixa;Sutler;;TRUE;
Lixivium;Lye;;TRUE;
Lobus;Lobe;;;
Loculus;Coffin;;TRUE;
Locupletare;Enrich;;TRUE;
Locupletatio;Enrichment;;TRUE;
Locus;Place, A;;;
Locusta;Locust;;TRUE;
Logici;Logicians;;TRUE;
Logicus;Logical;;TRUE;
Londinium;London;;TRUE;TRUE
Longaeva vita;Longevity;;TRUE;
Longanimus;Longsuffering;;;TRUE
Longinquitas;Remoteness (see Afar); A.3863:9. E. 304:31.;;
Longinquus;Afar; E.25. 294:3 355:32. 422:5 724:27. 811:23. 911:14. 1171.;;
Longitudinalis;Longitudinal;;TRUE;
Longitudo;Length;;TRUE;
Longus;Long (see Length);;;
Loquela;Speech;;TRUE;
Loqui;Speak;;;
Loquutio;Speaking; A.;TRUE;
Loramentum;Loop;;TRUE;
Lords;Lords;;;
Loretto;Loretto;;TRUE;
Lorica;Breastplate;;TRUE;
Lorum;Band; (reins). M. 103.;TRUE;
Losche;Losche;;TRUE;TRUE
Loth;Lot;;TRUE;
Lotio;Washpot;;;
Lotium;Urine;;TRUE;
Lotterium;Lottery;;TRUE;TRUE
Lubens;Pleasure;;TRUE;
Lubim;Lubim;;TRUE;
Luca;Luke;;TRUE;
Lucere;Shine;;TRUE;
Lucerna;Lamp;;TRUE;
Lucidus;Lucid;;TRUE;
Lucifer;Lucifer;;TRUE;
Lucrari;Gain, To;;TRUE;
Lucratio;Gaining, A;;TRUE;
Lucrum;Gain;;TRUE;
Lucta, Luctatio;Struggle, A;;;
Luctare;Struggle, To;;TRUE;
Luctus;Mourning;;TRUE;
Lucubratio;Study;;TRUE;
Lucus;Grove;;TRUE;
Lud;Lud;;TRUE;
Ludere;Play, To;;TRUE;
Ludi cursorii;Races;;TRUE;
Ludibrium;Ridicule;;TRUE;
Ludicrum;Sport (see Play); (ridiculous). T. 141e.;;
Ludificatio (a deceptive mockery).P. 134.;e;;;
Ludim;Ludim;;TRUE;
Ludio;Prizefighter; - Stageplayer (see Play).;TRUE;TRUE
Ludovicus;Louis;;;
Ludus;Play;;;
Luere;Pay, To,;;;
Lues;Plague;;TRUE;
Lugere;Mourn;;TRUE;
Lugubris;Mournful; D. 4911. T. 45e.;TRUE;
Lumbi;Loins;;TRUE;
Lumen;Lumen;;TRUE;
Luminare;Luminary; H. 119.;TRUE;
Luminosus;Luminous;;TRUE;
Luna;Moon; W.429.;TRUE;
Lunaris;Lunar (see Moon);;;
Lunaticus;Lunatic;;TRUE;
Lunula;Moonlet; T. 335.;TRUE;
Lupanar, Lupinaris;Brothel; T. 381:4.;;TRUE
Lupus;Wolf;;TRUE;
Luridus;Ghastly;;TRUE;
Lus;Luz;;TRUE;
Luscus;One - eyed; A. 3863:4. E. 152:12.;;
Lusorium;Play;;;
Lustrare;Examine, Survey;;TRUE;
Lustratio;Examination, Survey;;TRUE;
Lustrum;Den;;TRUE;
Lusus;Play, Game, Sport;;;
Luther;Luther;;TRUE;
Lutheranus;Lutheran;;TRUE;
Lutum;Clay;;TRUE;
Lux;Light;;;
Luxare;Joint, Out of; E.710:20.;TRUE;
Luxuria;Luxury;;TRUE;
Luxuriosus;Luxurious;;TRUE;
Luxurire;Luxuriant, To be;;TRUE;TRUE
Lybia;Lybia;;;
Lyceum;College; T. 803. 808.;TRUE;
Lychnarium;Lamp;;;TRUE
Lydius;Lydian;;TRUE;
Lympha;Lymph;;TRUE;
Lymphaticus;Lymphatic;;TRUE;
Lymphatus;Mad;;;
Lynceus;Lynx-eyed; Sharpsighted.;TRUE;
Lynuchus;Candlestick;;;TRUE
Lyra;Lyre;;;
Maceria;Wall;;TRUE;
Machaera;Sword;;TRUE;
Machalath;Mahalath;;TRUE;
Machanaim;Mahanaim;;TRUE;
Machiavelli;Machiavelli;;TRUE;
Machiavellistae;Machiavellians;;TRUE;TRUE
Machilentus;Lean; M.512:2.;TRUE;TRUE
Machina;Machine; M.527. T. 328:e. 482:3.;TRUE;
Machinari;Machinate;;;
Machinatio;Machination;;TRUE;
Machinator;Machinater;;;
Machinatrix;Machinatress;;;
Machir;Machir;;TRUE;
Machpelah;Machpelah;;TRUE;
Macies;Leanness;;TRUE;
Macrocosmus;Macrocosm;;TRUE;
Mactare;Slay;;TRUE;
Mactatio;Slaughter (see Slay);;;
Mactra;Kneading - trough;;;
Macula;Spot;;TRUE;
Maculosus;Spotted;;TRUE;
Madai;Madai;;TRUE;
Maeandri;Windings;;TRUE;
Maeror;Sorrow;;;
Maestitia;Sadness;;;
Maestus;Sad;;TRUE;
Maga;Witch; See also under Magic.;TRUE;
Magia;Magic;;TRUE;
Magice;Magically;;TRUE;
Magicus;Magical;;TRUE;
Magister;Master, A;.;;
Magisterium;Tutorship(see Master);;;
Magistratus;Magistrate,;;;
Magnanimus;Magnanimous;;TRUE;
Magnates;Great men;;TRUE;
Magnes;Magnet; M.386.;TRUE;
Magneticus;Magnetic;;TRUE;
Magnetismus;Magnetism;;TRUE;
Magnificare;Magnify;;TRUE;
Magnificentia;Magnificence;;TRUE;
Magnificus;Magnificent;;;
Magnifice;Magnificently;;TRUE;
Magnitudo;Magnitude; - Greatness.;TRUE;
Magnus;Great;;TRUE;
Magog;Magog;;;
Mahalalel;Mahalaleel;;TRUE;
Mahumed;Mohammed;;TRUE;TRUE
Mahumedanus;Mohammedan;;;
Mahumedismus;Mohammedanism;;TRUE;
Maitresse (French);Mistress;;;
Majestas;Majesty;;TRUE;
Major;Greater;;TRUE;
Makkeda;Makkedah;;TRUE;TRUE
Male;Evilly;;TRUE;
Maledicere;Curse, To;;;
Maledictio;Curse, A;;;
Malefacere;Do harm (see Do evil);;;
Maleficus;Rogue;;TRUE;
Malevolentia;Malevolence;;;
Malignitas;Malignity;;TRUE;
Malignus;Malignant;;TRUE;
Malitia;Malice, Wickedness;;TRUE;
Malitiose;Wickedly (see Malice);;;
Malitiosus;Malicious, Wicked;;TRUE;
Malkizedech;Melchizedek;;TRUE;
Malleus;Hammer, A;;;
Malogranatum;Pomegranate;;TRUE;
Malua;Malua;;;
Malum Aificanum;Pomegranate;;;TRUE
Malum facere;Do evil;;;
Malum falsi;Evil of falsity;;;
Malum vitae;Evil of life;;;
Malum;Evil;;TRUE;
Malum;Mast, A;;;
Malus punica;Pomegranate;;;
Malus;Apple - tree;;;
Malus;Evil man;;;
Mamilla;Pap;;TRUE;
Mamillaris;Mamillary; D. 939.;;TRUE
Mammon;Mammon;;TRUE;
Mamre;Mamre;;TRUE;
Man;Manna;;TRUE;
Mancipium;Slave;;TRUE;
Mancus;Maimed;;TRUE;
Mandare;Command, To;;;
Mandatum;Commandment; E.995:e.;;
Mandere;Gnaw;;;
Mandragoras;Mandrakes;;;
Manducare;Eat;;TRUE;
Manducatio;Eating, An;;;
Mane;Morning;;;
Manere;Remain;;;
Mania;Madness;;TRUE;
Maniacus;Maniac;;TRUE;
Manifestare;Manifest, To;;TRUE;
Manifestatio;Manifestation;;TRUE;
Manifeste;Manifestly; H. 39.;TRUE;
Manipulus;Sheaf;;TRUE;
Manna;Manna; T.S10:2.;;
Mannus;Pony;;;
Manoach;Mauoah;;;TRUE
Mansio;Abode; T. 24:2. Coro.29:2.;TRUE;
Mansuetudo;Gentleness;;TRUE;
Mansuetus;Gentle;;;
Mantica;Wallet;;TRUE;
Manumissio;Release, A;;;
Manumittere;Release, To;;;
Manus;Hand, A;;;
Mapale;Hut;;TRUE;
Mappa;Map, A;;;
Marah;Marah;;TRUE;
Marceria;Hedge;;;TRUE
Marcescere;Wither;;;
Marcus;Mark;;TRUE;
Mare Rubrum;Red Sea;;TRUE;
Mare Suph;Red Sea;;;
Mare;Sea;;TRUE;
Margarita;Pearl;;TRUE;
Margariticus;Pearly;;TRUE;
Maria;Mary; R.962:2. De Dom. 31;TRUE;
Marionettes;Marionettes;;TRUE;
Maritare;Marry;;TRUE;
Maritus;Husband;;TRUE;
Marmor;Marble;;TRUE;
Marmoreus;Marble, Of;;;
Mars;Mars;;TRUE;
Martha;Martha;;TRUE;
Martyra;Martyr;;TRUE;TRUE
Martyrisatio;Martyrization;;TRUE;
Martyrium;Martyrdom;;TRUE;
Mas, Masculus;Male;;;
Masch;Mash;;TRUE;TRUE
Masculinus;Masculine;;TRUE;
Masoretae;Masorites;;TRUE;
Massa;Dough; (mass). H.312. T. 701:3.;TRUE;
Massah;Massah;;TRUE;
Mater;Mother;;TRUE;
Materia;Matter;;TRUE;
Materialis;Material;;TRUE;
Materialiter;Materially;;TRUE;
Materiatus;Materiated;;TRUE;
Maternus;Maternal (see Mother);;;
Matertera;Maternal aunt;;;
Mathematica, Mathesis;Mathematics;;TRUE;
Matrimonialis;Matrimonial;;TRUE;
Matrimonium;Matrimony;;TRUE;
Matrix;Matrix;;TRUE;
Maturescere;Mature, To;;TRUE;
Maturitas;Maturity;;TRUE;
Maturus;Mature;;TRUE;
Matuta;Morning;;TRUE;
Matutinus;Early;;TRUE;
Maul;Maul;;;
Maurus;Moor;;;
Mausolaeum;Mausoleum;;TRUE;
Maxilla;Jawbone;;TRUE;
Maximus homo;Grand man;;;
Maximus;Greatest;;TRUE;
Me;Me;;TRUE;
Meatus;Passage;;TRUE;
Mechanicus;Mechanic;;TRUE;
Mechujael;Mehujael;;TRUE;TRUE
Medela;Healing;;TRUE;
Media;Media;;TRUE;
Mediare;Mediate, To;;;
Mediastinus;Drudge, A;;;
Mediate;Mediately;;TRUE;
Mediatio;Mediation;;TRUE;
Mediator;Mediator;;TRUE;
Mediatus;Mediate;;TRUE;
Medicamentum;Medicament;;TRUE;
Medicamina;Drugs (see Medicine);;;
Medicina;Medicine;;;
Medics;Medics;;TRUE;
Medicus;Medical;;;
Medicus;Physician, See also under Medicine;;;
Mediocriter;Moderately;;TRUE;
Mediolanus;Milan;;;TRUE
Meditabundus;Meditating earnestly;;TRUE;
Meditari;Meditate;;TRUE;
Meditatio;Meditation;;TRUE;
Mediterraneum (Mare);Mediterranean Sea;;;
Meditullium;Middle;;;
Medium;Medium, Middle, Cleans;;;
Medius;Middle;;TRUE;
Medulla oblongata;Medulla oblonuata;;;TRUE
Medulla spinalis;Spinal marrow;;;
Medulla;Marrow;;TRUE;
Medullaris;Medullary;;TRUE;
Medullatus;Marrowy;;TRUE;
Medullosus;Medullose;;TRUE;
Medus;Mede;;TRUE;
Medusa;Medusa;;TRUE;
Megiddo;Megiddo;;TRUE;
Mel;Honey;;TRUE;
Melancholia;Melancholy;;TRUE;
Melancholicus;Melancholy;;;
Melancthon;Melancthon;;TRUE;
Melcha;Milcah;;;TRUE
Melchom;Milchom;;;TRUE
Melecheth;Queen;;TRUE;
Meles;Badger;;TRUE;
Melioratio;Melioration;;;
Melius;Better;;TRUE;
Melodia, Melos;Melody;;;
Melolontha;Gankerworm;;;TRUE
Membrana;Membrane;;TRUE;
Membranaceus;Membranaceous;;TRUE;
Membrum;Member;;TRUE;
Memcrare;Mention, To; - Remember.;;TRUE
Memini;To remember (see Memory);;;
Memorabilis;Memorable; H. 132.;TRUE;
Memoria;Memory;;TRUE;
Memorialis;Memorial;;TRUE;
Menascheh;Manasseh;;TRUE;
Mendacium;Lie, A;;TRUE;
Mendax;Liar;;TRUE;
Mendicare;Beg,;;;
Mendicus;Beggar; D. 2502. 530S. D.Wis.xi.5.;TRUE;
Mene;Mene;;TRUE;
Meninx;Meninx;;TRUE;
Mens;Mind;;TRUE;
Mensa;Table;;TRUE;
Mensarius;Exchanger;;TRUE;
Mensis;Month;;TRUE;
Menstruatus;Menstruous;;;
Menstruum;Menstrum;;;
Mensura;Measure, A;;;
Mensurabilis;Measurable; H.85:2.;TRUE;
Mensurare;Measure, To;;;
Mensuratio;Measurement;;TRUE;
Mentalis;Mental (see Mind); T. 633. 634;;
Mentio;Mention;;TRUE;
Mentiri;Lie, Counterfeit, To; H. 48. 68.;;
Mentum;Chin;;TRUE;
Mercari;To traffic (see Merchandise);;;
Mercator;Merchant;;TRUE;
Mercatura;Merchandise, Trafficking;;TRUE;
Mercenarius;Hireling;;TRUE;
Merces;Hire, Reward;;TRUE;
Mercurius;Mercury;;TRUE;
Mereri;Merit, To;;TRUE;
Meretricari;Harlot, To play the;;TRUE;
Meretricatus, Meretricatio;Harlotry;;TRUE;
Meretricius;Meretricious;;TRUE;
Meretrix;Harlot;;TRUE;
Mergus;Gull, A;;;
Meribah;Meribah;;TRUE;
Meridianus,Meridionalis;Southern,;;;
Meridies;South;;TRUE;
Meritorius;Meritorious;;TRUE;
Meritum;Merit;;TRUE;
Merula;Blackbird;;TRUE;
Merum;Merum (that is, wine unmixed with water); E.376:11,;;
Merus;Mere; H.1. 114. 202. T. 485.;TRUE;
Merx;Merchandise, Wares;;;
Mescha;Mesha;;TRUE;TRUE
Meschech;Meshech;;TRUE;
Mesenterium;Mesentery; T. 496e. 679.;TRUE;
Mesopotamia;Mesopotamia;;TRUE;
Messatio;Harvesting;;TRUE;
Messias;Messiah;;TRUE;
Messis;Harvest;;TRUE;
Messor;Reaper;;TRUE;
Meta;Goal; Coro.21:10.;TRUE;
Metallicus;Metallic;;TRUE;
Metallum;Metal;;TRUE;
Metamorphosis;Metamorphosis; R. 839:4.;TRUE;
Metaphoricus;Metaphorical;;TRUE;
Metaphysice;Metaphysically;;TRUE;
Metaphysici;Metaphysicians;;TRUE;
Metaphysicus;Metaphysical; T. 17e.;TRUE;
Metempsychosis;Metempsychosis;;;
Meteor;Meteor;;TRUE;
Metere;Roap;;;TRUE
Meteri;Measure, To;;;TRUE
Methodus;Method;;TRUE;
Methuschael;Methusael;;TRUE;TRUE
Methuschelach;Methuselah;;TRUE;TRUE
Metricus;Metrical;;TRUE;
Metropolis;Metropolis; T. 782.;TRUE;
Meus;Mine;;;
Mica;Crumb; T. 695:3.;TRUE;
Micans;Sparkling;;;
Micare;Tremulous, To be;;TRUE;
Micatio;Beating; D.Wis.iii.5;TRUE;
Micha;Micah;;;
Michael;Michael;;TRUE;
Microcosmus;Microcosra;;;TRUE
Microscopium;Microscope;;TRUE;
Microuranos;Microuranus;;;TRUE
Micula;Little grain;;TRUE;
Middin;Middin;;TRUE;
Midian;Midian;;TRUE;
Midianita;Midianite;;TRUE;
Migdal;Migdol;;TRUE;
Migrare;Remove; M.44:2;TRUE;
Migratio;Removal;;TRUE;
Milanus;Milan;;;TRUE
Milchom;Milchom;;TRUE;
Miles gregarius;Common soldier;;TRUE;
Miles;Soldier;;TRUE;
Militare;Fight (see Soldier);;;
Militia;Warfare;;TRUE;
Milium;Millet;;TRUE;
Milkah;Milcah;;TRUE;
Mille;Thousand;;TRUE;
Milleni;Thousand, A;;TRUE;
Milliare;Mile;;TRUE;
Million;Million;;TRUE;
Milvus;Kite;;TRUE;
Mimus;Mimic;;TRUE;
Mina;Pound, A;;;
Minae;Threats;;TRUE;
Mincha;Meat - offering;;;
Mineralis;Mineral;;TRUE;
Minerva;Minerva;;TRUE;
Mingere;Make water;;TRUE;
Minimus;Least;;TRUE;
Minister;Minister;;TRUE;
Ministerium;Ministry,;;;
Ministrare;Minister, To;;TRUE;
Ministratio;Ministration;;TRUE;
Minium;Vermilion;;TRUE;
Minnith;Minnith;;TRUE;
Minor;Younger;;TRUE;
Minorrennis;Little one; M.7. 207:2.;;TRUE
Minutum;Minute, A;;;
Minutus;Minute;;TRUE;
Mirabilis;Wonderful;;TRUE;
Miraculose;Miraculously;;TRUE;
Miraculosus;Miraculous;;TRUE;
Miraculum;Miracle;;TRUE;
Mirari;Wonder, To;;;
Mirjam;Miriam;;TRUE;
Miscere;Mix;;TRUE;
Miser, Miserabilis;Miserable;;TRUE;
Miseratio;Compassion; See also under Mercy.;;
Misere;Miserably;;TRUE;
Misereri;Mercy, To have;;TRUE;
Miseria;Misery;;TRUE;
Misericordia;Mercy;;;
Misericorditer;Mercifully;;TRUE;
Misericors;Merciful;;TRUE;
Misgab;Misgab;;TRUE;
Missa;Mass, The; D. 5218.;;
Missio;Sending, A;;TRUE;
Missionarius;Missionary;;TRUE;
Mitescere;Mild, To become;;TRUE;
Mitigare;Mitigate; M.145. 459:2.;TRUE;
Mitis;Mild;;TRUE;
Mitra;Mitre;;;
Mittere;Send;;TRUE;
Mixtio;Mixture;;TRUE;
Mizpah;Mizpah;;TRUE;
Mizraim;Mizraim;;TRUE;
Moabita;Moabite;;TRUE;
Moabiticus;Moabitish;;TRUE;
Moabus;Moab;;TRUE;
Mobilitas;Mobility; T. 577:2.;TRUE;
Moderamen;Control (see Moderate);;;
Moderare;Moderate, To;;;
Moderator;Director (see Moderate);;;
Moderatus;Moderate;;TRUE;
Modeste;Modestly;;TRUE;
Modestia;Modesty;;TRUE;
Modestus;Modest;;TRUE;
Modificare;Modify;;TRUE;
Modificatio;Modification;;TRUE;
Modnlari;Modulate;;;TRUE
Modulatio;Modulation;;TRUE;
Moechari;Adultery, To commit; E.141:5. T. 330.;;
Moechus;Adulterer;;;
Moenia;Fortification;;;
Moeror;Sorrow; T. 561.;;
Mogol;Mogul (see Mongol);;;
Mogolenses;Mongols;;TRUE;
Mola;Mill (see Grind);;;
Molaris;Millstone (see Grind);;;
Molech;Molech;;TRUE;
Molecula;Molecule;;TRUE;
Molere;Grind;;;
Moles;Mass;;TRUE;
Molestia;Trouble;;TRUE;
Molestus;Troublesome;;TRUE;
Molimen;Effort;;TRUE;
Moliri;Attempt, Work, To (see Effort); M.302.;;
Mollis;Soft;;;
Molliter;Softly;;TRUE;
Mollities;Softness;;TRUE;
Momentaneus;Momentary;;TRUE;
Momentum;Moment; T. 57. (importance). H.191e.;TRUE;
Monachalis;Monkish;;TRUE;
Monachus;Monk;;TRUE;
Monarcha;Monarch; T. 57:2. 813:2;TRUE;
Monarchicus;Monarchical;;;
Monas;Monad;;TRUE;
Monasterialis;Monastic;;;
Monasterium;Monastery;;;
Moneta;Money;;TRUE;
Moneticus;Monetized;;TRUE;
Monile;Nose - jewel;;;
Monoceros;Unicorn;;;
Monogamicus;Monogamous;;TRUE;
Monogamus;Monogamist;;TRUE;
Monomania;Monomania;;;
Monosyllaba;Monosyllable;;;
Monosyllabicus;Monosyllabic;;TRUE;
Mons Olivarum;Mount of Olives;;TRUE;
Mons;Mountain;;TRUE;
Monstrare;Show, To;;;
Monstrositas;Monstrosity;;TRUE;
Monstrosus;Monstrous;;TRUE;
Monstrum;Monster;;TRUE;
Montanus;Mountainous;;TRUE;
Monumentum;Monumentum;;;
Moorfields;Moorfields;;;
Moph;Moph;;;
Moraeus;Moraeus;;TRUE;TRUE
Moralis;Moral;;TRUE;
Moralista;Moralist,;;;
Moralitas;Morality;;TRUE;
Moraliter;Morally;;TRUE;
Morari;Delay, To;;;
Moratus;Maunered, Moral;;;TRUE
Moravianismus;Moravianism;;TRUE;
Moravianus;Moravian;;;
Morbus;Disease;;TRUE;
Mordere;Bite, To; D. 2974. 3206:2.;;
Moreh;Moreh;;;
Mori;Die;;TRUE;
Moria;Moria;;TRUE;
Moriah;Moriah;;TRUE;
Moribimdus;Moribund;;;TRUE
Moronus;Moronus;;;
Morosus;Morose;;TRUE;
Mors;Death (see Die);;;
Morsus;Biting, A;;;
Mortalis;Mortal;;TRUE;
Mortarium;Mortar;;TRUE;
Morticinium;Mortification;;TRUE;
Mortificare;Die (To cause to);;;
Mortificatio;Death;;;
Mortuus;Dead (see Die);;;
Mos;Mauners;;;TRUE
Moschalim;Moschalim;;TRUE;
Moses;Moses;;TRUE;
Mossa (Swed.);Cap;;;TRUE
Motio;Movement;;TRUE;
Motitare;Brood, To; E.304:28.;;
Motorius, Motrix;Motor (see Move);;;
Motus;Motion (see Move);;;
Movere;Move, To;;;
Mucidus;Mouldy;;TRUE;
Mucor;Mouldiness;;TRUE;
Mucosus;Mucous;;TRUE;
Mucro;Point, A;;;
Mucus;Mucus;;TRUE;
Mufti;Mufti;;TRUE;
Mulba;Honey - wine;;;TRUE
Mulcere;Sooth;;;
Mulcimen;Soothing, A;;TRUE;
Mulcta;Fine, A;;;
Mulctare;Fine, To;;;
Mulier;Woman;;TRUE;
Multifarius;Manifold;;;
Multiplex;Manifold; A. 6825. - Multiplex.;TRUE;
Multiplicabilis;Multiplicable;;TRUE;
Multiplicabilitas;Multiplicability;;TRUE;
Multiplicare;Multiply;;TRUE;
Multiplicatio;Multiplication;;TRUE;
Multiprolis;Many children, She that hath; R.10:3;;
Multitude;Multitude;;TRUE;
Multus;Many, Much;;TRUE;
Mulus, Mula;Mule;;TRUE;
Mumia;Mummy;;TRUE;
Munificentia;Munificence; M. 56:5.;TRUE;
Mundanus;Worldly;;TRUE;
Mundare;Cleanse;;TRUE;
Mundatio;Cleansing, A;;;
Munditio;Cleanness;;TRUE;TRUE
Mundus naturalis;Natural world;;;
Mundus spiritualis;Spiritual world;;;
Mundus spirituum;World of Spirits;;TRUE;
Mundus;Clean;;TRUE;
Mundus;World;;TRUE;
Munia;Functions; A.3637e.;TRUE;
Munimentum;Fortress (see Fortify);;;
Munire;Fortify;;TRUE;
Munitio;Fortification;;;
Munus;Present;;TRUE;
Murinus;Murrhine;;;
Murmur;Murmur, A;;;
Murmurare;Murmur, To;;TRUE;
Murmuratio;Murniuring, A;;;TRUE
Murrhinus;Murrhine;;;
Murus;Wall;;;
Mus;Mouse;;TRUE;
Musaeum;Museum;;TRUE;
Musca;Fly, A; T. 630e.;;
Muscularis;Muscular;;TRUE;
Musculus;Muscle;;TRUE;
Musica, Musice;Music;;;
Musicalis, Musicus;Musical;;;
Musicus;Musician;;TRUE;
Mussitare;Mutter;;TRUE;
Mussitatio;Muttering, A;;;
Mustela;Weasel;;TRUE;
Mustum;Must;;TRUE;
Mutare;Change, To;;;
Mutatio;Change, A;;;
Mutatorius;Changeable;;TRUE;
Mutilare;Mutilate;;TRUE;
Mutilus;Mutilated;;TRUE;
Mutire;Mutter;;TRUE;
Mutuum accipere;Borrow;;TRUE;
Mutuo dare;Lend;;;
Mutuo;Mutually; H. 14.;TRUE;
Mutus;Dumb;;TRUE;
Mutuus;Mutual;;TRUE;
Myops;Shortsighted;;TRUE;
Myrias;Myriad;;TRUE;
Myrothecium;Ointment - box;;;
Myrrha;Myrrh;;TRUE;
Myrrhatus;Myrrhated;;TRUE;TRUE
Myrtus;Myrtle;;TRUE;
Mysterium;Mystery;;TRUE;
Mysticus;Mystical; N - N.;TRUE;
Naamah;Naauah;;;TRUE
Naaman;Naaman;;TRUE;
Nabal;Nabal;;TRUE;TRUE
Nablium;Psaltery;;TRUE;
Nachor;Nahor;;TRUE;TRUE
Nactergal;Nightingale;;TRUE;TRUE
Nadab;Nadab;;TRUE;
Naevus;Blemish; A. 4657.;TRUE;
Nancisci;Obtain;;TRUE;
Naphtali;Naphtali;;TRUE;
Naphthuchim;Naphtuhim;;TRUE;TRUE
Naris;Nostril;;TRUE;
Narrare;Tell;;TRUE;
Narratio;Telling, A;;TRUE;
Nasci;Born, To be; E. 193:2. 802e.;TRUE;
Nasus;Nose;;TRUE;
Natale solum;Birthplace;;TRUE;
Natare;Swim;;TRUE;
Natatilis;Floating (see Swim);;;
Nates;Buttocks;;TRUE;
Nathan;Nathan;;TRUE;
Natio;Nation;;TRUE;
Nativitas;Birth (see Born);;;
Natura humana;Human nature;;TRUE;
Natura;Nature;;;
Naturalis historia;Natural history;;;
Naturalis;Natural;;TRUE;
Naturalismus;Naturalism;;TRUE;
Naturalista;Naturalist;;TRUE;
Naturare;Create, T; 695:2.;;TRUE
Natus;Child (see Born);;;
Nauclerus;Captain; A.6385. T. 127. 165:2. 619e. Coro.57:2. 59:2. E. 1170.;;
Naucus;No account, Of;;TRUE;
Naufragium;Shipwreck; T. 31:2.;;
Naufragus;Shipwreck, Of;;;
Nausea;Nausea;;TRUE;
Nauseabundus;Nauseous;;TRUE;
Nauseare;Nauseate;;TRUE;
Nauta;Sailor;;TRUE;
Nauticus;Nautical (see Sailor);;;
Navale;Dock;;TRUE;
Navarchus;Captin;;;TRUE
Navigare;Navigate;;TRUE;
Navigatio;Navigation;;TRUE;
Navigium;Vessel, or Ship;;;
Navis;Ship, A; T. 57e;;
Naziraeus;Nazarite;;TRUE;
Nazireatus;Nazariteship;;TRUE;TRUE
Neapolis;Naples;;TRUE;
Neapolitani;Neapolitans;;TRUE;
Nebaioth;Nebaioth;;TRUE;
Nebo;Nebo;;;
Nebuchadnezar;Nebuchadnezzar;;TRUE;
Nebula;Mist;;TRUE;
Nebulosus;Misty;;TRUE;
Necare;Murder, To;;TRUE;
Necessarius;Necessary;;TRUE;
Necessitas;Necessity; A. 8977.;TRUE;
Nectar;Nectar;;TRUE;
Nectareus;Nectareous;;;
Nectere;Weave;;TRUE;
Nefandus, Nefarius;Wicked;;TRUE;
Nefas;Wickedness;;;
Negare;Deny;;TRUE;
Negatio;Denial;;TRUE;
Negativus;Negative; See also under Deny.;TRUE;
Neglectus;Neglect;;TRUE;
Neglegare;Neglect, To;;TRUE;TRUE
Negligenter;Negligently;;TRUE;
Negotiare;Trade, To;;TRUE;
Negotiatio;Trading;;TRUE;
Negotiator;Trader;;TRUE;
Negotium;Trade;;TRUE;
Nemesis;Nemesis;;TRUE;
Nemns;Grove;;;TRUE
Nemo;No one;;TRUE;
Neotericus;Modern;;TRUE;
Nephilim;Nephilim;;TRUE;
Nepos;Grandson;;TRUE;
Neptunus;Neptune;;TRUE;
Nerez;Nerez;;TRUE;TRUE
Nero;Nero;;TRUE;
Nerveus;Nervous;;TRUE;
Nervus;Nerve;;;
Nervulus;Nervule;;TRUE;
Nescire;Know not;;TRUE;
Neta, Netus;Knitting,;;;
Neuter;Neuter; R.875:6.;;
Newtonius, Newtonus;Newton;;;TRUE
Nex;Murder;;TRUE;
Nexus;Connection; P. 124:4.;;
Nicenus;Nicene;;;
Nicodemus;Nicodemus;;TRUE;
Nicolaitae;Nicolaitans;;TRUE;
Nictare;Wink, To;;;
Nidificare;Nest, To make a;;TRUE;
Nidor;Stench;;TRUE;
Nidorus;Nidorous (see Stench);;;TRUE
Nidus;Nest;;TRUE;
Nigella;Fitches;;TRUE;
Niger;Black; D. 1188. 1262. 3381 4083. E.372. 1059e. 1224e.;TRUE;
Nigredo;Blackness;;TRUE;
Nigrita;Negro;;TRUE;
Nihil;Nothing;;TRUE;
Nilus;Nile;;TRUE;
Nimbosus;Misty;;TRUE;
Nimbus;Mist;;TRUE;
Nimrod;Nimrod;;;
Ninive;Nineveh;;TRUE;
Nissi;Nissi;;TRUE;
Nisus;Effort;;TRUE;
Niti;Strive (see Effort);;;
Nitidus;Bright;;TRUE;
Nitor;Brightness;;TRUE;
Nitrum;Soda; T. 673e.;TRUE;
Niveus;Snowy;;TRUE;
Nix;Snow;;TRUE;
No;No;;TRUE;
Noachicus;Noachic;;TRUE;
Noachus;Noah;;;
Nobilis;Noble; M. 109. 111:2. 132:2. 133:2. 134:2. T. 645e.;TRUE;
Nobilitare;Ennoble (see Noble);;;
Nobilitas;Nobility; M. 13:2. 110e. T. 609.;TRUE;
Nobilitatio;Ennobling, An (see Noble);;;
Nocere;Hurt, To;;TRUE;
Noctambulo;Sleepwalker;;TRUE;
Noctilucus;Glow - worm;;;
Noctua;Owl;;;
Nod;Nod;;TRUE;
Nodus Gordius;Gordian knot;;;
